id,name,pop2018,fips
0500000US28059,"Jackson County, Mississippi",143277,28059
0500000US28067,"Jones County, Mississippi",68461,28067
0500000US28075,"Lauderdale County, Mississippi",75317,28075
0500000US28081,"Lee County, Mississippi",85202,28081
0500000US28089,"Madison County, Mississippi",105630,28089
0500000US28121,"Rankin County, Mississippi",153902,28121
0500000US29019,"Boone County, Missouri",180005,29019
0500000US29021,"Buchanan County, Missouri",88571,29021
0500000US29031,"Cape Girardeau County, Missouri",78753,29031
0500000US29037,"Cass County, Missouri",104954,29037
0500000US29043,"Christian County, Missouri",86983,29043
0500000US29047,"Clay County, Missouri",246365,29047
0500000US29051,"Cole County, Missouri",76796,29051
0500000US29071,"Franklin County, Missouri",103670,29071
0500000US29077,"Greene County, Missouri",291923,29077
0500000US29095,"Jackson County, Missouri",700307,29095
0500000US29097,"Jasper County, Missouri",120636,29097
0500000US29099,"Jefferson County, Missouri",224347,29099
0500000US29165,"Platte County, Missouri",102985,29165
0500000US29183,"St. Charles County, Missouri",399182,29183
0500000US29187,"St. Francois County, Missouri",66692,29187
0500000US29189,"St. Louis County, Missouri",996945,29189
0500000US29510,"St. Louis city, Missouri",302838,29510
0500000US30013,"Cascade County, Montana",81643,30013
0500000US30029,"Flathead County, Montana",102106,30029
0500000US30031,"Gallatin County, Montana",111876,30031
0500000US30049,"Lewis and Clark County, Montana",68700,30049
0500000US30063,"Missoula County, Montana",118791,30063
0500000US30111,"Yellowstone County, Montana",160137,30111
0500000US31055,"Douglas County, Nebraska",566880,31055
0500000US31109,"Lancaster County, Nebraska",317272,31109
0500000US31153,"Sarpy County, Nebraska",184459,31153
0500000US32003,"Clark County, Nevada",2231647,32003
0500000US32031,"Washoe County, Nevada",465735,32031
0500000US33005,"Cheshire County, New Hampshire",76493,33005
0500000US33009,"Grafton County, New Hampshire",89786,33009
0500000US33011,"Hillsborough County, New Hampshire",415247,33011
0500000US33013,"Merrimack County, New Hampshire",151132,33013
0500000US33015,"Rockingham County, New Hampshire",309176,33015
0500000US33017,"Strafford County, New Hampshire",130090,33017
0500000US34001,"Atlantic County, New Jersey",265429,34001
0500000US34003,"Bergen County, New Jersey",936692,34003
0500000US34005,"Burlington County, New Jersey",445384,34005
0500000US34007,"Camden County, New Jersey",507078,34007
0500000US34009,"Cape May County, New Jersey",92560,34009
0500000US34011,"Cumberland County, New Jersey",150972,34011
0500000US34013,"Essex County, New Jersey",799767,34013
0500000US34015,"Gloucester County, New Jersey",291408,34015
0500000US34017,"Hudson County, New Jersey",676061,34017
0500000US34019,"Hunterdon County, New Jersey",124714,34019
0500000US34021,"Mercer County, New Jersey",369811,34021
0500000US34023,"Middlesex County, New Jersey",829685,34023
0500000US34025,"Monmouth County, New Jersey",621354,34025
0500000US34027,"Morris County, New Jersey",494228,34027
0500000US34029,"Ocean County, New Jersey",601651,34029
0500000US34031,"Passaic County, New Jersey",503310,34031
0500000US34033,"Salem County, New Jersey",62607,34033
0500000US34035,"Somerset County, New Jersey",331164,34035
